Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n1	majority_voting	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401
n1	weighted_voting	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401
n1	averaging	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401
n1	weighted_averaging	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401
n5	majority_voting	72.27978929	65.45019848	72.05387205	-1	85.50235859	0.717715879	0.720538721	61.6026936	-1	69.95286195	71.81362007	41.11111111	-1
n5	weighted_voting	72.39716478	66.81744425	72.2020202	-1	85.42283273	0.719212325	0.722020202	61.67003367	-1	70.10774411	71.90681004	42.22222222	-1
n5	averaging	73.22726317	69.24039245	73.08417508	92.27609428	85.03999326	0.816464543	0.821396444	62.14814815	64.79124579	70.30976431	72.10035842	42.55555556	82.05387205
n5	weighted_averaging	73.20130628	68.99251143	73.05050505	92.26936027	85.05120072	0.81646496	0.821396619	62.12794613	64.76430976	70.30976431	72.10752688	42.44444444	82.06060606
n10	majority_voting	78.59929411	74.17929293	78.47138047	-1	84.6725826	0.782539197	0.784713805	66.43771044	-1	72.93602694	74.98207885	41.22222222	-1
n10	weighted_voting	78.42433769	73.80409357	78.28282828	-1	84.70340499	0.780634629	0.782828283	66.3030303	-1	72.9023569	74.86738351	42.44444444	-1
n10	averaging	79.88627495	77.85964912	79.82491582	95.21212121	84.3045033	0.884172484	0.88813679	67.29292929	68.94949495	73.44781145	75.36917563	43.66666667	83.87878788
n10	weighted_averaging	79.95165341	78.19969387	79.8989899	95.1986532	84.29351042	0.884147916	0.888112456	67.34680135	68.95286195	73.47474747	75.40501792	43.55555556	83.87878788
n20	majority_voting	83.29088654	79.41112458	83.17171717	-1	83.75063238	0.830017345	0.831717172	69.65656566	-1	74.78114478	76.81003584	43.33333333	-1
n20	weighted_voting	83.28764972	79.31617091	83.16498316	-1	83.91111182	0.829949325	0.831649832	69.78451178	-1	74.90909091	76.91039427	43.88888889	-1
n20	averaging	84.66659322	83.3482874	84.62626263	97.66329966	83.24210172	0.931093389	0.9339348	70.44444444	74.36026936	75.27272727	77.20430108	45.33333333	85.40740741
n20	weighted_averaging	84.66190911	83.48387097	84.62626263	97.68350168	83.23457065	0.931123353	0.933963579	70.43771044	74.41414141	75.26599327	77.20430108	45.22222222	85.42760943
n40	majority_voting	84.38556073	83.85171653	84.37037037	-1	83.59536233	0.842124953	0.843703704	70.52525253	-1	75.24579125	77.28315412	43.66666667	-1
n40	weighted_voting	84.42214196	83.79884955	84.4040404	-1	83.65974208	0.842465055	0.844040404	70.60606061	-1	75.26599327	77.28315412	44	-1
n40	averaging	85.75044456	83.46548811	85.68350168	98.10774411	83.15691316	0.939267629	0.941832063	71.24579125	75.71380471	75.6026936	77.62007168	44.33333333	85.73737374
n40	weighted_averaging	85.75739915	83.46548811	85.69023569	98.11447811	83.16647634	0.93918	0.941747266	71.25925926	75.6969697	75.60942761	77.62724014	44.33333333	85.73737374
n80	majority_voting	89.67186905	87.8664028	89.61616162	-1	81.74692973	0.895112744	0.896161616	73.25252525	-1	76.44444444	78.43010753	45.66666667	-1
n80	weighted_voting	89.62156719	87.94901017	89.56902357	-1	81.81939743	0.894636602	0.895690236	73.27946128	-1	76.48484848	78.45878136	45.88888889	-1
n80	averaging	90.28708642	89.27520235	90.25589226	99.28619529	81.42241983	0.969834074	0.971218712	73.48148148	81.09427609	76.50505051	78.46594982	46.11111111	86.69360269
n80	weighted_averaging	90.25928836	89.27520235	90.22895623	99.27946128	81.46895559	0.969850996	0.971234865	73.5016835	81.14478114	76.52525253	78.48028674	46.22222222	86.68686869
