Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n0	majority_voting	84.15829956	81.17198549	86.06734007	-1	83.8270901	0.839064041	0.840673401	71.47138047	-1	76.14478114	77.22580645	42.88888889	-1
n0	weighted_voting	83.82062255	80.65194115	85.71717172	-1	84.40360724	0.835526987	0.837171717	71.65993266	-1	76.45454545	77.38351254	45.55555556	-1
n0	averaging	85.78715444	84.72265994	87.75084175	97.81144781	83.74378379	0.933228308	0.935944834	72.8047138	73.68686869	77.06060606	77.97849462	46.33333333	85.73063973
n0	weighted_averaging	85.80104912	84.3037609	87.75084175	97.81818182	83.75144996	0.933177007	0.935894432	72.81144781	73.67340067	77.05387205	77.97849462	46.22222222	85.72390572
n1	majority_voting	85.14482152	83.96800556	85.1043771	-1	83.73248678	0.849539163	0.851043771	71.25925926	-1	75.7037037	77.76344086	43.77777778	-1
n1	weighted_voting	85.21202055	83.31205995	85.15151515	-1	83.75706076	0.850015305	0.851515152	71.31986532	-1	75.85185185	77.84946237	44.88888889	-1
n1	averaging	86.32947662	84.87864282	86.28282828	98.07407407	83.55820425	0.939841965	0.942343461	72.09427609	75.18855219	76.26262626	78.29390681	44.77777778	86.08754209
n1	weighted_averaging	86.32334484	85.05373164	86.28282828	98.05387205	83.55861819	0.939822026	0.942323795	72.09427609	75.18855219	76.26262626	78.30107527	44.66666667	86.06734007
n2	majority_voting	84.29563597	85.05376344	84.31649832	-1	83.95764265	0.841580791	0.843164983	70.78787879	-1	75.40740741	77.46236559	43.55555556	-1
n2	weighted_voting	84.15264614	82.88658882	84.11447811	-1	83.93291519	0.839540183	0.841144781	70.5993266	-1	75.36026936	77.35483871	44.44444444	-1
n2	averaging	85.36101017	83.75727721	85.31313131	97.72390572	83.56618065	0.933608767	0.936327711	71.29292929	74.31649832	75.71717172	77.7562724	44.11111111	85.43434343
n2	weighted_averaging	85.34498404	83.61798019	85.29292929	97.71043771	83.56223036	0.933609043	0.9363281	71.27272727	74.26262626	75.7037037	77.73476703	44.22222222	85.43434343
n3	majority_voting	83.13959363	82.68907563	83.12457912	-1	83.88030928	0.829541203	0.831245791	69.72390572	-1	74.66666667	76.67383513	43.55555556	-1
n3	weighted_voting	83.10816571	83.04195804	83.1043771	-1	83.95747553	0.829337142	0.831043771	69.77104377	-1	74.74747475	76.72401434	44.11111111	-1
n3	averaging	84.21710147	84.38918757	84.22222222	97.39393939	83.72152915	0.927152535	0.930072576	70.51178451	73.88552189	75.23232323	77.19713262	44.77777778	85.25925926
n3	weighted_averaging	84.25877976	84.38918757	84.26262626	97.37373737	83.70589533	0.927120249	0.930041164	70.53198653	73.82154882	75.24579125	77.21146953	44.77777778	85.28619529
n4	majority_voting	82.51510704	81.26705653	82.47811448	-1	83.99579368	0.823011257	0.824781145	69.27946128	-1	74.47811448	76.55913978	42.22222222	-1
n4	weighted_voting	82.51749179	81.40623808	82.48484848	-1	84.09696769	0.823079278	0.824848485	69.36700337	-1	74.56565657	76.58064516	43.33333333	-1
n4	averaging	83.6932347	83.56643357	83.69023569	97.17171717	83.81132517	0.922286698	0.92534562	70.14141414	73.22222222	75.02356902	77.01792115	44.11111111	85.01683502
