Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n1	majority_voting	67.23472326	56.95056467	66.996633	-1	82.20375003	0.666632657	0.66996633	55.07070707	-1	64.37710438	66.5734767	30.33333333	-1
n1	weighted_voting	67.23472326	56.95056467	66.996633	-1	82.20375003	0.666632657	0.66996633	55.07070707	-1	64.37710438	66.5734767	30.33333333	-1
n1	averaging	67.23472326	56.95056467	66.996633	89.0976431	82.20375003	0.779774183	0.786618936	55.07070707	62.72727273	64.37710438	66.5734767	30.33333333	76.97643098
n1	weighted_averaging	67.23472326	56.95056467	66.996633	89.0976431	82.20375003	0.779774183	0.786618936	55.07070707	62.72727273	64.37710438	66.5734767	30.33333333	76.97643098
n5	majority_voting	72.4815606	70.06432459	72.41750842	-1	83.96686347	0.721388974	0.724175084	60.8013468	-1	68.86195286	70.83154122	38.33333333	-1
n5	weighted_voting	72.35673601	70.28297362	72.2962963	-1	84.41561126	0.720164609	0.722962963	61.02356902	-1	69.09090909	70.96774194	40	-1
n5	averaging	73.09898506	69.35721812	72.996633	92.74074074	84.33446669	0.837741134	0.843061369	61.55555556	66.61616162	69.55555556	71.56272401	38.44444444	81.15824916
n5	weighted_averaging	73.17329343	68.2512097	73.03703704	92.72053872	84.32325253	0.837319129	0.842638865	61.58249158	66.63973064	69.62289562	71.60573477	38.88888889	81.20538721
n10	majority_voting	73.83903779	69.74113899	73.71717172	-1	85.06339458	0.734516886	0.737171717	62.70707071	-1	70.54545455	72.50179211	40.22222222	-1
n10	weighted_voting	73.65259108	68.00595238	73.48148148	-1	85.1827416	0.732136177	0.734814815	62.59259259	-1	70.45791246	72.37992832	40.66666667	-1
n10	averaging	74.58005036	70.08281573	74.44444444	93.16498316	84.92016916	0.847360127	0.852371907	63.21885522	66.73063973	70.9023569	72.83870968	40.88888889	82.08080808
n10	weighted_averaging	74.53139413	70.08281573	74.3973064	93.17171717	84.94668679	0.846830524	0.851841419	63.1986532	66.73737374	70.88888889	72.82437276	40.88888889	82.09427609
n20	majority_voting	76.80525668	71.51841869	76.64646465	-1	85.72762768	0.764105703	0.766464646	65.7037037	-1	72.5993266	74.63799283	41	-1
n20	weighted_voting	76.68016317	70.62443541	76.49158249	-1	85.76021453	0.762541237	0.764915825	65.5959596	-1	72.55892256	74.55913978	41.55555556	-1
n20	averaging	77.2002908	69.1008842	76.94276094	93.92592593	85.96889379	0.860484184	0.864912711	66.14141414	67.97643098	72.96296296	74.96057348	42	83.45454545
n20	weighted_averaging	77.23842992	68.96181896	76.97643098	93.87878788	85.92279659	0.859997721	0.86442744	66.13468013	67.91582492	72.95622896	74.96057348	41.88888889	83.46801347
n40	majority_voting	77.25220532	70.1986755	77.03703704	-1	85.65112406	0.768050879	0.77037037	65.97979798	-1	73.08417508	75.05376344	42.55555556	-1
n40	weighted_voting	77.12241212	70.1754386	76.90909091	-1	85.75826387	0.766758494	0.769090909	65.95286195	-1	73.07070707	75.03225806	42.66666667	-1
n40	averaging	77.48675831	70.40357492	77.26599327	94.48484848	85.71087735	0.868491194	0.872692949	66.22222222	68.78451178	73.25925926	75.18996416	43.33333333	84.31649832
n40	weighted_averaging	77.46120201	70.16404742	77.23232323	94.48484848	85.73899972	0.868147882	0.872351815	66.21548822	68.75420875	73.25925926	75.1827957	43.44444444	84.3030303
