Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n20	majority_voting	73.83903779	69.74113899	73.71717172	-1	85.06339458	0.734516886	0.737171717	62.70707071	-1	70.54545455	72.50179211	40.22222222	-1
n20	weighted_voting	73.65259108	68.00595238	73.48148148	-1	85.1827416	0.732136177	0.734814815	62.59259259	-1	70.45791246	72.37992832	40.66666667	-1
n20	averaging	74.58005036	70.08281573	74.44444444	93.16498316	84.92016916	0.847360127	0.852371907	63.21885522	66.73063973	70.9023569	72.83870968	40.88888889	82.08080808
n20	weighted_averaging	74.53139413	70.08281573	74.3973064	93.17171717	84.94668679	0.846830524	0.851841419	63.1986532	66.73737374	70.88888889	72.82437276	40.88888889	82.09427609
n30	majority_voting	73.61605101	61.96895059	73.26599327	-1	85.2495799	0.729959528	0.732659933	62.46464646	-1	70.48484848	72.58064516	38	-1
n30	weighted_voting	73.47045676	61.48427673	73.0976431	-1	85.36564112	0.728259021	0.730976431	62.4040404	-1	70.49158249	72.55197133	38.55555556	-1
n30	averaging	74.53718011	62.06763285	74.14814815	93.1986532	85.14592326	0.836976861	0.841858809	63.13804714	65.93265993	70.96969697	73.03225806	39	82.05387205
n30	weighted_averaging	74.49714393	61.98611111	74.10774411	93.17171717	85.18355118	0.836593447	0.841476364	63.13131313	65.86868687	70.97643098	73.04659498	38.88888889	82.04713805
n40	majority_voting	74.85360342	69.07029478	74.68686869	-1	86.11968866	0.744311805	0.746868687	64.31649832	-1	71.99326599	74.05734767	40	-1
n40	weighted_voting	74.67834364	68.69084938	74.4983165	-1	86.25528187	0.742407237	0.744983165	64.25589226	-1	71.97306397	73.96415771	41.11111111	-1
n40	averaging	75.6313288	68.87168172	75.42087542	93.02356902	85.90202726	0.840041269	0.844659374	64.78114478	65.23569024	72.18181818	74.10752688	42.33333333	82.82154882
n40	weighted_averaging	75.61741963	68.87168172	75.40740741	93.01010101	85.91675621	0.839883727	0.84450224	64.78114478	65.23232323	72.18855219	74.11469534	42.33333333	82.83501684
