Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
Baseline	majority_voting	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
Baseline	weighted_voting	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
Baseline	averaging	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
Baseline	weighted_averaging	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
Simple-ensemble	majority_voting	-1	-1	94.57037037	-1	95.63759607	0.939670782	0.945703704	90.44444444	-1	92.80740741	-1	-1	-1
Simple-ensemble	weighted_voting	-1	-1	94.4	-1	95.70037249	0.937777778	0.944	90.34074074	-1	92.73333333	-1	-1	-1
Simple-ensemble	averaging	-1	-1	94.88148148	99.82962963	95.84802886	0.970118912	0.975552817	90.94074074	82.08148148	93.13333333	-1	-1	98.0962963
Simple-ensemble	weighted_averaging	-1	-1	94.86666667	99.82962963	95.87064907	0.970124872	0.975558039	90.94814815	82.08148148	93.14814815	-1	-1	98.0962963
Snapshot	majority_voting	-1	-1	95.3037037	-1	95.28277647	0.94781893	0.953037037	90.80740741	-1	92.8	-1	-1	-1
Snapshot	weighted_voting	-1	-1	95.24444444	-1	95.3418245	0.947160494	0.952444444	90.80740741	-1	92.84444444	-1	-1	-1
Snapshot	averaging	-1	-1	95.51851852	99.9037037	95.37883875	0.976694424	0.981233455	91.1037037	84.04814815	93.02222222	-1	-1	98.21481481
Snapshot	weighted_averaging	-1	-1	95.48888889	99.9037037	95.38523887	0.97669325	0.981232101	91.08148148	84.03333333	93.01481481	-1	-1	98.21481481
Snapshot-A	majority_voting	-1	-1	95.35555556	-1	95.40991263	0.948395062	0.953555556	90.97777778	-1	92.94814815	-1	-1	-1
Snapshot-A	weighted_voting	-1	-1	95.32592593	-1	95.37710787	0.948065844	0.953259259	90.91851852	-1	92.92592593	-1	-1	-1
Snapshot-A	averaging	-1	-1	95.65555556	99.91111111	95.28539966	0.976876868	0.981366736	91.14444444	83.42222222	93.06666667	-1	-1	98.11851852
Snapshot-A	weighted_averaging	-1	-1	95.60740741	99.8962963	95.3988906	0.976778323	0.981254366	91.20740741	83.48518519	93.06666667	-1	-1	98.11111111
Snapshot-B	majority_voting	-1	-1	94.4	-1	95.93606734	0.937777778	0.944	90.56296296	-1	92.96296296	-1	-1	-1
Snapshot-B	weighted_voting	-1	-1	94.42222222	-1	95.92891815	0.938024691	0.944222222	90.57777778	-1	92.98518519	-1	-1	-1
Snapshot-B	averaging	-1	-1	94.85185185	99.8	95.83045372	0.97035442	0.975811215	90.8962963	81.85185185	93.11111111	-1	-1	98.14814815
Snapshot-B	weighted_averaging	-1	-1	94.85185185	99.80740741	95.82256489	0.970355254	0.97581204	90.88888889	81.85925926	93.1037037	-1	-1	98.13333333
Super-ensemble	majority_voting	-1	-1	96.8	-1	95.10358168	0.964444444	0.968	92.05925926	-1	93.45185185	-1	-1	-1
Super-ensemble	weighted_voting	-1	-1	96.71851852	-1	95.11463386	0.963539095	0.967185185	91.99259259	-1	93.42962963	-1	-1	-1
Super-ensemble	averaging	-1	-1	96.76296296	99.95555556	95.1708388	0.985953553	0.988755547	92.08888889	85.70740741	93.4962963	-1	-1	98.48888889
Super-ensemble	weighted_averaging	-1	-1	96.76296296	99.96296296	95.1708388	0.985952069	0.98875411	92.08888889	85.7037037	93.4962963	-1	-1	98.4962963

