Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n1	majority_voting	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
n1	weighted_voting	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
n1	averaging	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
n1	weighted_averaging	-1	-1	89.13481481	99.08592593	96.05676763	0.903499447	0.916517253	85.61925926	77.20296296	90.26074074	-1	-1	96.97185185
n5	majority_voting	-1	-1	90.16296296	-1	95.97635167	0.890699588	0.90162963	86.53333333	-1	90.68148148	-1	-1	-1
n5	weighted_voting	-1	-1	90.17777778	-1	96.01776074	0.890864198	0.901777778	86.58518519	-1	90.71111111	-1	-1	-1
n5	averaging	-1	-1	90.34444444	99.2	96.01737527	0.919406675	0.931062897	86.74444444	78.21481481	90.8037037	-1	-1	97.08888889
n5	weighted_averaging	-1	-1	90.34444444	99.2037037	96.01737527	0.919405307	0.931061413	86.74444444	78.21481481	90.8037037	-1	-1	97.08888889
n10	majority_voting	-1	-1	92.11851852	-1	95.67577485	0.912427984	0.921185185	88.13333333	-1	91.52222222	-1	-1	-1
n10	weighted_voting	-1	-1	92.15925926	-1	95.99216331	0.912880658	0.921592593	88.46296296	-1	91.8037037	-1	-1	-1
n10	averaging	-1	-1	93.01481481	99.64444444	95.74817116	0.953121374	0.961263436	89.05925926	81.03518519	92.05555556	-1	-1	97.79259259
n10	weighted_averaging	-1	-1	93.02592593	99.64074074	95.74465319	0.953117869	0.961260266	89.06666667	81.02407407	92.05555556	-1	-1	97.78888889
n20	majority_voting	-1	-1	94.46666667	-1	95.64888034	0.938518519	0.944666667	90.35555556	-1	92.78888889	-1	-1	-1
n20	weighted_voting	-1	-1	94.45555556	-1	95.71520923	0.938395062	0.944555556	90.40740741	-1	92.84814815	-1	-1	-1
n20	averaging	-1	-1	94.76296296	99.86296296	95.66624142	0.971799054	0.977090891	90.65555556	82.87777778	92.94444444	-1	-1	98.16666667
n20	weighted_averaging	-1	-1	94.76296296	99.86296296	95.67016391	0.971808766	0.977098793	90.65925926	82.88333333	92.94814815	-1	-1	98.15925926
n40	majority_voting	-1	-1	95.36666667	-1	95.40654896	0.948518519	0.953666667	90.98518519	-1	93.02592593	-1	-1	-1
n40	weighted_voting	-1	-1	95.42222222	-1	95.40902577	0.949135802	0.954222222	91.04074074	-1	93.04814815	-1	-1	-1
n40	averaging	-1	-1	95.55555556	99.88888889	95.40017525	0.977816142	0.982069453	91.15925926	84.03333333	93.10740741	-1	-1	98.32592593
n40	weighted_averaging	-1	-1	95.54814815	99.88888889	95.39981788	0.977822223	0.982074322	91.15185185	84.03518519	93.1037037	-1	-1	98.32222222
n80	majority_voting	-1	-1	96.8	-1	95.10358168	0.964444444	0.968	92.05925926	-1	93.45185185	-1	-1	-1
n80	weighted_voting	-1	-1	96.71851852	-1	95.11463386	0.963539095	0.967185185	91.99259259	-1	93.42962963	-1	-1	-1
n80	averaging	-1	-1	96.76296296	99.95555556	95.1708388	0.985953553	0.988755547	92.08888889	85.70740741	93.4962963	-1	-1	98.48888889
n80	weighted_averaging	-1	-1	96.76296296	99.96296296	95.1708388	0.985952069	0.98875411	92.08888889	85.7037037	93.4962963	-1	-1	98.4962963

