Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n1	majority_voting	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037
n1	weighted_voting	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037
n1	averaging	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037
n1	weighted_averaging	85.87652598	85.09890336	85.38222222	98.54814815	93.5283024	0.86911187	0.887237803	79.8562963	75.99111111	85.83851852	91.05333333	83.23111111	94.6237037
n5	majority_voting	86.3833833	85.72536633	85.96666667	-1	92.80288582	0.844074074	0.859666667	79.77777778	-1	85.51481481	91.36666667	82.58888889	-1
n5	weighted_voting	86.33561146	85.62490146	85.88518519	-1	92.88595571	0.843168724	0.858851852	79.77407407	-1	85.54814815	91.3	82.67222222	-1
n5	averaging	86.6695476	85.87326189	86.16666667	98.85555556	92.82474604	0.885052737	0.902141937	79.98148148	77.34259259	85.66666667	91.4	82.8	94.58888889
n5	weighted_averaging	86.66698286	85.87483926	86.16666667	98.85185185	92.83328449	0.885051202	0.902140195	79.98888889	77.34074074	85.67407407	91.4	82.81111111	94.58518519
n10	majority_voting	89.41827131	88.60439604	88.91111111	-1	92.19666583	0.876790123	0.889111111	81.97407407	-1	86.48518519	93.45555556	83	-1
n10	weighted_voting	89.51158119	88.75189195	89.03333333	-1	92.77461709	0.878148148	0.890333333	82.6	-1	87.04074074	92.87777778	84.12222222	-1
n10	averaging	90.47397357	89.80008439	90.04814815	99.32222222	92.69088761	0.931692624	0.943944402	83.46666667	80.0462963	87.50740741	93.06666667	84.72777778	95.44444444
n10	weighted_averaging	90.49226505	89.85366906	90.08888889	99.32222222	92.66125797	0.931690667	0.94394237	83.47777778	80.05185185	87.4962963	93.07777778	84.70555556	95.44444444
n20	majority_voting	92.48504922	92.07867138	92.22962963	-1	92.22961209	0.913662551	0.922296296	85.06296296	-1	88.27777778	94.03333333	85.4	-1
n20	weighted_voting	92.47162344	92.09029724	92.22962963	-1	92.3345348	0.913662551	0.922296296	85.15925926	-1	88.38518519	93.78888889	85.68333333	-1
n20	averaging	92.87917863	92.54060833	92.66296296	99.72962963	92.39017907	0.959839472	0.967757567	85.61111111	82.92407407	88.62222222	93.91111111	85.97777778	96.41111111
n20	weighted_averaging	92.91917684	92.54672431	92.68148148	99.72962963	92.37580453	0.959840236	0.967758062	85.61481481	82.92037037	88.61851852	93.91111111	85.97222222	96.42592593
n40	majority_voting	93.37359028	93.20915274	93.27037037	-1	92.10603935	0.925226337	0.932703704	85.90740741	-1	88.65185185	93.93333333	86.01111111	-1
n40	weighted_voting	93.42855762	93.2007914	93.28518519	-1	92.20664356	0.925390947	0.932851852	86.01481481	-1	88.74444444	93.85555556	86.18888889	-1
n40	averaging	93.77621949	93.52721228	93.61851852	99.84444444	92.12735695	0.967982133	0.974497235	86.24814815	83.99814815	88.83703704	93.96666667	86.27222222	96.52592593
n40	weighted_averaging	93.77578618	93.50993993	93.60740741	99.84444444	92.13429463	0.967971016	0.97448841	86.24444444	83.9962963	88.84074074	93.97777778	86.27222222	96.52592593
n80	majority_voting	95.14462181	95.09145666	95.11111111	-1	91.86152923	0.945679012	0.951111111	87.37037037	-1	89.38518519	94.37777778	86.88888889	-1
n80	weighted_voting	95.07925699	95.14148166	95.11851852	-1	91.90919171	0.945761317	0.951185185	87.42222222	-1	89.42962963	94.35555556	86.96666667	-1
n80	averaging	95.12029705	95.31711109	95.24444444	99.9037037	91.86504751	0.980385875	0.984569799	87.4962963	86.33703704	89.44444444	94.33333333	87	96.86666667
n80	weighted_averaging	95.10024089	95.31711109	95.23703704	99.9037037	91.85668605	0.980383158	0.984567593	87.48148148	86.32962963	89.42962963	94.31111111	86.98888889	96.85185185

