Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2	majority_ea_er	minority_ea_er
Baseline	majority_voting	91.1129337	59.65860566	88.45506667	99.4508	68.26487625	0.936139024	0.961809066	60.354	85.84866667	63.70093333	74.03883511	22.44735003	75.89213333	61.41949005	51.58708535
Baseline	weighted_voting	91.1129337	59.65860566	88.45506667	99.4508	68.26487625	0.936139024	0.961809066	60.354	85.84866667	63.70093333	74.03883511	22.44735003	75.89213333	61.41949005	51.58708535
Baseline	averaging	91.1129337	59.65860566	88.45506667	99.4508	68.26487625	0.936139024	0.961809066	60.354	85.84866667	63.70093333	74.03883511	22.44735003	75.89213333	61.41949005	51.58708535
Baseline	weighted_averaging	91.1129337	59.65860566	88.45506667	99.4508	68.26487625	0.936139024	0.961809066	60.354	85.84866667	63.70093333	74.03883511	22.44735003	75.89213333	61.41949005	51.58708535
Simple-ensemble	majority_voting	95.30253121	63.21472056	92.56482133	-1	69.18363491	0.914720237	0.925648213	62.52066133	-1	65.605632	75.90592198	24.50213927	-1	63.30618658	54.52093276
Simple-ensemble	weighted_voting	95.21997783	61.1798278	92.358656	-1	69.48298379	0.912429511	0.92358656	62.65309867	-1	65.81589333	75.92470423	25.47650131	-1	64.82508367	62.78079615
Simple-ensemble	averaging	95.41395991	64.06735047	92.813312	99.8	69.13358258	0.968199653	0.990363044	62.64558933	89.83108267	65.63908267	75.91702058	24.62478624	78.159872	63.5824099	55.3359237
Simple-ensemble	weighted_averaging	95.43377712	64.06837122	92.831744	99.8	69.12591018	0.968193926	0.990362433	62.65105067	89.83688533	65.63976533	75.91702058	24.6281931	78.163968	63.58803219	55.33897693
Snapshot	majority_voting	94.51582507	65.54509738	92.00666667	-1	67.58608064	0.911185185	0.920066667	62.158	-1	64.692	74.54290788	25.38177463	-1	62.91018535	56.91412997
Snapshot	weighted_voting	94.51194803	65.48201902	91.99333333	-1	67.59676745	0.911037037	0.919933333	62.15866667	-1	64.69466667	74.53707178	25.41837176	-1	62.9173478	56.85360949
Snapshot	averaging	94.66331682	65.61788883	92.15666667	99.798	67.54786604	0.95276168	0.972058896	62.22333333	89.04666667	64.7	74.55624755	25.36846658	77.066	62.9616648	57.0906716
Snapshot	weighted_averaging	94.66761494	65.61788883	92.16066667	99.798	67.54711376	0.952756916	0.972057641	62.22533333	89.047	64.70133333	74.55791501	25.36846658	77.07	62.96382792	57.0906716
Snapshot-A	majority_voting	94.60092745	66.35696091	92.222	-1	67.46725296	0.913577778	0.92222	62.19666667	-1	64.65666667	74.55541382	25.15553781	-1	62.85199579	57.69794296
Snapshot-A	weighted_voting	94.62314356	66.35625565	92.23666667	-1	67.46537865	0.913740741	0.922366667	62.20466667	-1	64.66066667	74.55624755	25.17217287	-1	62.86606982	57.67285925
Snapshot-A	averaging	94.69338491	66.20656285	92.29333333	99.80533333	67.47169686	0.954226796	0.972685518	62.24733333	89.24266667	64.692	74.59626656	25.16884586	77.03466667	62.91661975	57.5498091
Snapshot-A	weighted_averaging	94.69400793	66.20656285	92.294	99.80533333	67.47055525	0.95422727	0.972686588	62.24666667	89.241	64.69133333	74.59543283	25.16884586	77.036	62.91586462	57.5498091
Snapshot-B	majority_voting	95.21753704	64.53084278	92.742	-1	67.49544721	0.919355556	0.92742	62.578	-1	64.90133333	75.02730464	24.49346242	-1	63.28264244	57.09535807
Snapshot-B	weighted_voting	95.20290124	64.63694216	92.74133333	-1	67.51678479	0.919348148	0.927413333	62.59733333	-1	64.91733333	75.03730939	24.53338657	-1	63.29260896	57.16793667
Snapshot-B	averaging	95.35014113	64.65479396	92.90266667	99.84666667	67.48440211	0.956565154	0.975646851	62.67733333	89.615	64.96133333	75.10150655	24.49678943	77.36	63.36452338	57.16393941
Snapshot-B	weighted_averaging	95.35110217	64.66424579	92.906	99.84733333	67.48119994	0.956575869	0.975650823	62.67666667	89.61366667	64.96	75.10234028	24.4868084	77.36	63.36246276	57.17044062
